#,time_utc,support_id,bet_amount_usd,multiplier,gross_payout_usd,bet_link
47,2026-05-16T14:46:47.828Z,1137925965,760000,,0,https://winna.com/?betId=8290594c-4c88-4bf0-ae8d-ee0cfe168e52
48,2026-05-16T14:46:51.410Z,1137926069,100000,,0,https://winna.com/?betId=9611d85e-8959-42c8-9ffb-53f018f1bc59
49,2026-05-16T14:46:53.023Z,1137926116,39595.43,,0,https://winna.com/?betId=3cc36666-0f41-4bcd-959c-5131bd1230a1
50,2026-05-16T14:48:17.159Z,1137928712,150000,,0,https://winna.com/?betId=4741e610-2995-43fe-bc84-cc2b6488cce6
51,2026-05-16T14:48:20.059Z,1137928838,50000,,0,https://winna.com/?betId=8d01ae67-a37e-494e-8d26-1c004e357b27
52,2026-05-16T14:48:23.677Z,1137928998,24898.86,,0,https://winna.com/?betId=828ab7dd-cf1e-4e15-a0e0-8e2de58dab79
53,2026-05-16T14:50:35.710Z,1137934446,800000,,0,https://winna.com/?betId=af4d915f-4046-4740-a0fa-7102102c7dd9
54,2026-05-16T14:50:38.960Z,1137934561,100000,,0,https://winna.com/?betId=cf15a569-cffc-4adf-a874-d9affc1b5633
55,2026-05-16T14:50:41.853Z,1137934663,70000,,0,https://winna.com/?betId=b9121416-cae7-4550-b7c3-12c748903c4a
56,2026-05-16T14:50:43.925Z,1137934742,29550.47,,0,https://winna.com/?betId=757f6532-e40e-47b3-98c7-5cca8053d1a7
57,2026-05-16T14:51:43.511Z,1137936706,150000,6,900000,https://winna.com/?betId=bbf517ea-0350-4612-9a41-366f34d3ff63
58,2026-05-16T14:51:46.697Z,1137936820,70000,,0,https://winna.com/?betId=dd17e110-4715-4c95-8bdb-b3738bd47a17
59,2026-05-16T14:51:48.424Z,1137936885,29887.62,,0,https://winna.com/?betId=5bd84d4c-8463-40c6-a2f4-6667414b1ef6
60,2026-05-16T14:52:14.537Z,1137937878,800000,,0,https://winna.com/?betId=e6b05c23-970f-4d84-8e17-3890eb6a52d7
61,2026-05-16T14:52:17.020Z,1137937980,70000,,0,https://winna.com/?betId=c2ace5f2-c8f9-4daa-96e7-c6d12abb8b5a
62,2026-05-16T14:52:18.809Z,1137938042,30108.94,,0,https://winna.com/?betId=ee0cea1b-99a6-4c5f-ad19-630c6b95df6d
